"Test Information",Value
"RUN ID",488
"END EXECUTION TIME","2021-05-07 10:57:41"
"SOURCE PROBE NAME",raspberrypi-AAS
"SOURCE PROBE TEST IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE MANAGEMENT IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE GROUP",Administrators
"DESTINATION PROBE NAME",andreas
"DESTINATION PROBE TEST IP ADDRESS",andreas
"DESTINATION PROBE MANAGEMENT IP ADDRESS",andreas
"DESTINATION PROBE GROUP",Administrators
"DESTINATION PROBE LOCATION",
"TEST MODULE",MESH
"TEST TYPE","Network KPI"
"TEST ADDITIONAL INFORMATION"," DSCP Setting: Best Effort"
"TEST DURATION",120
"TEST STATUS",Failed
"FAIL OR ERROR REASON"," Threshold failed on KPI from->to Jitter Max (ms) 
 Threshold failed on KPI from->to Max Delay Variation (ms) 
"

Metric,"Pair Name",Value,"Threshold Type",Threshold,"Status KPI"
"Datagrams Out of Order","KPI from->to",0.0,0,>=,Passed
"Delay (ms)","KPI from->to",4.15,0,<=,Passed
"Jitter (ms)","KPI from->to",1.61,0,<=,Passed
"Jitter Max (ms)","KPI from->to",17.0,0,<=,Failed
Loss,"KPI from->to",0.0,0,<=,Passed
"Max Delay Variation (ms)","KPI from->to",133.0,0,<=,Failed
"Max loss burst","KPI from->to",0.0,0,<=,Passed
MOS,"KPI from->to",4.02,1,<=,Passed
"Wi-Fi RSSI Average","Wi-Fi andreas",-40.0,-1,<=,Passed
"Wi-Fi RSSI Minimum","Wi-Fi andreas",-43.0,-1,<=,Passed
"Wi-Fi RSSI Maximum","Wi-Fi andreas",-36.0,-1,<=,Passed
"Wi-Fi Link Speed Average (Mbps)","Wi-Fi andreas",170.0,-1,<=,Passed
"Wi-Fi BSSID","Wi-Fi andreas",fc:5b:39:c7:c3:4f,,,Passed
"Wi-Fi SSID","Wi-Fi andreas",eduroam,,,Passed

Metric,"Pair Name",Timestamp,Value
"Jitter (ms)","KPI from->to",102,0
"Jitter (ms)","KPI from->to",104,0
"Jitter (ms)","KPI from->to",106,0
"Jitter (ms)","KPI from->to",108,0
"Jitter (ms)","KPI from->to",110,1
"Jitter (ms)","KPI from->to",112,2
"Jitter (ms)","KPI from->to",114,0
"Jitter (ms)","KPI from->to",116,0
"Jitter (ms)","KPI from->to",118,0

Metric,"Pair Name",Timestamp,Value
"Max Delay Variation (ms)","KPI from->to",102,43
"Max Delay Variation (ms)","KPI from->to",104,4
"Max Delay Variation (ms)","KPI from->to",106,3
"Max Delay Variation (ms)","KPI from->to",108,8
"Max Delay Variation (ms)","KPI from->to",110,13
"Max Delay Variation (ms)","KPI from->to",112,42
"Max Delay Variation (ms)","KPI from->to",114,3
"Max Delay Variation (ms)","KPI from->to",116,3
"Max Delay Variation (ms)","KPI from->to",118,3

Metric,"Pair Name",Timestamp,Value
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",2,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",4,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",6,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",8,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",10,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",12,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",14,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",16,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",18,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",20,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",22,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",24,173
"Wi-Fi Link Speed (Mbps)","Wi-Fi andreas",26,173
