"Test Information",Value
"RUN ID",488
"END EXECUTION TIME","2021-05-07 10:55:24"
"SOURCE PROBE NAME",raspberrypi-AAS
"SOURCE PROBE TEST IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE MANAGEMENT IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE GROUP",Administrators
"DESTINATION PROBE NAME",andreas
"DESTINATION PROBE TEST IP ADDRESS",andreas
"DESTINATION PROBE MANAGEMENT IP ADDRESS",andreas
"DESTINATION PROBE GROUP",Administrators
"DESTINATION PROBE LOCATION",
"TEST MODULE",MESH
"TEST TYPE","Network KPI"
"TEST ADDITIONAL INFORMATION"," DSCP Setting: Best Effort"
"TEST DURATION",120
"TEST STATUS",Failed
"FAIL OR ERROR REASON"," Threshold failed on KPI from->to Jitter Max (ms) 
 Threshold failed on KPI from->to Max Delay Variation (ms) 
"

Metric,"Pair Name",Value,"Threshold Type",Threshold,"Status KPI"
"Datagrams Out of Order","KPI from->to",0.0,0,>=,Passed
"Delay (ms)","KPI from->to",2.44,0,<=,Passed
Loss,"KPI from->to",102,0
Loss,"KPI from->to",104,0
Loss,"KPI from->to",106,0
Loss,"KPI from->to",108,0
Loss,"KPI from->to",110,0
Loss,"KPI from->to",112,0
Loss,"KPI from->to",114,0
Loss,"KPI from->to",116,0
Loss,"KPI from->to",118,0

Metric,"Pair Name",Timestamp,Value
"Max Delay Variation (ms)","KPI from->to",2,16
"Max Delay Variation (ms)","KPI from->to",4,50
"Max Delay Variation (ms)","KPI from->to",6,17
"Max Delay Variation (ms)","KPI from->to",8,3
"Max Delay Variation (ms)","KPI from->to",10,14
"Max Delay Variation (ms)","KPI from->to",12,16
"Max Delay Variation (ms)","KPI from->to",14,40
"Max Delay Variation (ms)","KPI from->to",16,14
"Max Delay Variation (ms)","KPI from->to",18,100
"Max Delay Variation (ms)","KPI from->to",20,3
"Max Delay Variation (ms)","KPI from->to",22,12
"Max Delay Variation (ms)","KPI from->to",24,3
"Max Delay Variation (ms)","KPI from->to",26,32
"Max Delay Variation (ms)","KPI from->to",28,4
"Max Delay Variation (ms)","KPI from->to",30,4
"Max Delay Variation (ms)","KPI from->to",32,3
"Max Delay Variation (ms)","KPI from->to",34,3
"Max Delay Variation (ms)","KPI from->to",36,3
"Max Delay Variation (ms)","KPI from->to",38,37
"Max Delay Variation (ms)","KPI from->to",40,15
"Max Delay Variation (ms)","KPI from->to",42,13
"Max Delay Variation (ms)","KPI from->to",44,14
"Max Delay Variation (ms)","KPI from->to",46,4
"Max Delay Variation (ms)","KPI from->to",48,35
"Max Delay Variation (ms)","KPI from->to",50,3
"Max Delay Variation (ms)","KPI from->to",52,3
"Max Delay Variation (ms)","KPI from->to",54,13
"Max Delay Variation (ms)","KPI from->to",56,18
"Max Delay Variation (ms)","KPI from->to",58,17
"Max Delay Variation (ms)","KPI from->to",60,43
"Max Delay Variation (ms)","KPI from->to",62,4
"Max Delay Variation (ms)","KPI from->to",64,3
"Max Delay Variation (ms)","KPI from->to",66,5
"Max Delay Variation (ms)","KPI from->to",68,5
"Max Delay Variation (ms)","KPI from->to",70,38
"Max Delay Variation (ms)","KPI from->to",72,3
"Max Delay Variation (ms)","KPI from->to",74,2
