"Test Information",Value
"RUN ID",489
"END EXECUTION TIME","2021-05-07 11:13:55"
"SOURCE PROBE NAME",raspberrypi-AAS
"SOURCE PROBE TEST IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE MANAGEMENT IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE GROUP",Administrators
"DESTINATION PROBE NAME",andreas
"DESTINATION PROBE TEST IP ADDRESS",andreas
"DESTINATION PROBE MANAGEMENT IP ADDRESS",andreas
"DESTINATION PROBE GROUP",Administrators
"DESTINATION PROBE LOCATION",
"TEST MODULE",MESH
"TEST TYPE","Network KPI"
"TEST ADDITIONAL INFORMATION"," DSCP Setting: Best Effort"
"TEST DURATION",120
"TEST STATUS",Failed
"FAIL OR ERROR REASON"," Threshold failed on KPI from->to Jitter Max (ms) 
 Threshold failed on KPI from->to Max Delay Variation (ms) 
"

Metric,"Pair Name",Value,"Threshold Type",Threshold,"Status KPI"
"Datagrams Out of Order","KPI from->to",0.0,0,>=,Passed
"Delay (ms)","KPI from->to",2.66,0,<=,Passed
"Max Delay Variation (ms)","KPI from->to",80,2
"Max Delay Variation (ms)","KPI from->to",82,3
"Max Delay Variation (ms)","KPI from->to",84,15
"Max Delay Variation (ms)","KPI from->to",86,14
"Max Delay Variation (ms)","KPI from->to",88,13
"Max Delay Variation (ms)","KPI from->to",90,42
"Max Delay Variation (ms)","KPI from->to",92,17
"Max Delay Variation (ms)","KPI from->to",94,19
"Max Delay Variation (ms)","KPI from->to",96,3
"Max Delay Variation (ms)","KPI from->to",98,6
"Max Delay Variation (ms)","KPI from->to",100,17

Metric,"Pair Name",Timestamp,Value
"Max Delay Variation (ms)","KPI from->to",102,49
"Max Delay Variation (ms)","KPI from->to",104,3
"Max Delay Variation (ms)","KPI from->to",106,2
"Max Delay Variation (ms)","KPI from->to",108,2
"Max Delay Variation (ms)","KPI from->to",110,19
"Max Delay Variation (ms)","KPI from->to",112,33
"Max Delay Variation (ms)","KPI from->to",114,17
"Max Delay Variation (ms)","KPI from->to",116,13
"Max Delay Variation (ms)","KPI from->to",118,13

Metric,"Pair Name",Timestamp,Value
"Delay (ms)","KPI from->to",2,1
"Delay (ms)","KPI from->to",4,19
"Delay (ms)","KPI from->to",6,34
"Delay (ms)","KPI from->to",8,15
"Delay (ms)","KPI from->to",10,34
"Delay (ms)","KPI from->to",12,18
"Delay (ms)","KPI from->to",14,0
"Delay (ms)","KPI from->to",16,0
"Delay (ms)","KPI from->to",18,1
"Delay (ms)","KPI from->to",20,2
"Delay (ms)","KPI from->to",22,0
"Delay (ms)","KPI from->to",24,1
"Delay (ms)","KPI from->to",26,0
"Delay (ms)","KPI from->to",28,0
"Delay (ms)","KPI from->to",30,0
"Delay (ms)","KPI from->to",32,1
"Delay (ms)","KPI from->to",34,1
"Delay (ms)","KPI from->to",36,0
"Delay (ms)","KPI from->to",38,1
"Delay (ms)","KPI from->to",40,0
"Delay (ms)","KPI from->to",42,0
"Delay (ms)","KPI from->to",44,1
"Delay (ms)","KPI from->to",46,1
"Delay (ms)","KPI from->to",48,0
"Delay (ms)","KPI from->to",50,0
"Delay (ms)","KPI from->to",52,0
"Delay (ms)","KPI from->to",54,0
"Delay (ms)","KPI from->to",56,1
"Delay (ms)","KPI from->to",58,1
"Delay (ms)","KPI from->to",60,0
"Delay (ms)","KPI from->to",62,1
"Delay (ms)","KPI from->to",64,1
"Delay (ms)","KPI from->to",66,0
"Delay (ms)","KPI from->to",68,2
"Delay (ms)","KPI from->to",70,0
"Delay (ms)","KPI from->to",72,0
"Delay (ms)","KPI from->to",74,0
"Delay (ms)","KPI from->to",76,2
"Delay (ms)","KPI from->to",78,1
"Delay (ms)","KPI from->to",80,0
"Delay (ms)","KPI from->to",82,1
"Delay (ms)","KPI from->to",84,1
"Delay (ms)","KPI from->to",86,1
"Delay (ms)","KPI from->to",88,1
"Delay (ms)","KPI from->to",90,2
"Delay (ms)","KPI from->to",92,3
"Delay (ms)","KPI from->to",94,2
"Delay (ms)","KPI from->to",96,0
"Delay (ms)","KPI from->to",98,0
"Delay (ms)","KPI from->to",100,1

Metric,"Pair Name",Timestamp,Value
MOS,"KPI from->to",2,4.37
MOS,"KPI from->to",4,1.35
MOS,"KPI from->to",6,1
MOS,"KPI from->to",8,2.15
MOS,"KPI from->to",10,1
MOS,"KPI from->to",12,1.87
MOS,"KPI from->to",14,4.37
MOS,"KPI from->to",16,4.37
MOS,"KPI from->to",18,4.37
MOS,"KPI from->to",20,4.37
MOS,"KPI from->to",22,4.37
MOS,"KPI from->to",24,3.51
MOS,"KPI from->to",26,4.37
MOS,"KPI from->to",28,4.37
MOS,"KPI from->to",30,4.37
MOS,"KPI from->to",32,4.37
MOS,"KPI from->to",34,4.37
MOS,"KPI from->to",36,4.37
MOS,"KPI from->to",38,4.37
MOS,"KPI from->to",40,4.37
MOS,"KPI from->to",42,4.37
MOS,"KPI from->to",44,4.37
MOS,"KPI from->to",46,3.5
MOS,"KPI from->to",48,4.37
MOS,"KPI from->to",50,4.37
MOS,"KPI from->to",52,4.37
MOS,"KPI from->to",54,4.37
MOS,"KPI from->to",56,4.37
MOS,"KPI from->to",58,4.37
MOS,"KPI from->to",60,4.37
MOS,"KPI from->to",62,4.37
MOS,"KPI from->to",64,4.37
MOS,"KPI from->to",66,4.37
MOS,"KPI from->to",68,3.5
MOS,"KPI from->to",70,4.37
MOS,"KPI from->to",72,4.37
MOS,"KPI from->to",74,4.37
MOS,"KPI from->to",76,4.37
MOS,"KPI from->to",78,3.5
MOS,"KPI from->to",80,4.37
MOS,"KPI from->to",82,4.37
MOS,"KPI from->to",84,4.37
MOS,"KPI from->to",86,4.37
