"Test Information",Value
"RUN ID",489
"END EXECUTION TIME","2021-05-07 11:11:43"
"SOURCE PROBE NAME",raspberrypi-AAS
"SOURCE PROBE TEST IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE MANAGEMENT IP ADDRESS",raspberrypi-AAS
"SOURCE PROBE GROUP",Administrators
"DESTINATION PROBE NAME",andreas
"DESTINATION PROBE TEST IP ADDRESS",andreas
"DESTINATION PROBE MANAGEMENT IP ADDRESS",andreas
"DESTINATION PROBE GROUP",Administrators
"DESTINATION PROBE LOCATION",
"TEST MODULE",MESH
"TEST TYPE","Network KPI"
"TEST ADDITIONAL INFORMATION"," DSCP Setting: Best Effort"
"TEST DURATION",120
"TEST STATUS",Failed
"FAIL OR ERROR REASON"," Threshold failed on KPI from->to Jitter Max (ms) 
 Threshold failed on KPI from->to Max Delay Variation (ms) 
"

Metric,"Pair Name",Value,"Threshold Type",Threshold,"Status KPI"
"Datagrams Out of Order","KPI from->to",0.0,0,>=,Passed
"Delay (ms)","KPI from->to",0.56,0,<=,Passed
"Jitter (ms)","KPI from->to",0.59,0,<=,Passed
"Jitter Max (ms)","KPI from->to",7.0,0,<=,Failed
Loss,"KPI from->to",0.0,0,<=,Passed
"Max Delay Variation (ms)","KPI from->to",50.0,0,<=,Failed
"Max loss burst","KPI from->to",0.0,0,<=,Passed
MOS,"KPI from->to",4.28,1,<=,Passed
"Wi-Fi RSSI Average","Wi-Fi andreas",-40.0,-1,<=,Passed
"Wi-Fi RSSI Minimum","Wi-Fi andreas",-43.0,-1,<=,Passed
"Wi-Fi RSSI Maximum","Wi-Fi andreas",-36.0,-1,<=,Passed
"Wi-Fi Link Speed Average (Mbps)","Wi-Fi andreas",169.59322033898306,-1,<=,Passed
"Wi-Fi BSSID","Wi-Fi andreas",fc:5b:39:c7:c3:4f,,,Passed
"Wi-Fi SSID","Wi-Fi andreas",eduroam,,,Passed

Metric,"Pair Name",Timestamp,Value
"Delay (ms)","KPI from->to",102,0
"Delay (ms)","KPI from->to",104,1
"Delay (ms)","KPI from->to",106,0
"Delay (ms)","KPI from->to",108,0
"Delay (ms)","KPI from->to",110,0
"Delay (ms)","KPI from->to",112,1
"Delay (ms)","KPI from->to",114,0
"Delay (ms)","KPI from->to",116,0
"Delay (ms)","KPI from->to",118,0

Metric,"Pair Name",Timestamp,Value
"Max Delay Variation (ms)","KPI from->to",2,20
"Max Delay Variation (ms)","KPI from->to",4,15
"Max Delay Variation (ms)","KPI from->to",6,2
"Max Delay Variation (ms)","KPI from->to",8,3
"Max Delay Variation (ms)","KPI from->to",10,32
"Max Delay Variation (ms)","KPI from->to",12,15
"Max Delay Variation (ms)","KPI from->to",14,13
"Max Delay Variation (ms)","KPI from->to",16,6
"Max Delay Variation (ms)","KPI from->to",18,4
"Max Delay Variation (ms)","KPI from->to",20,3
"Max Delay Variation (ms)","KPI from->to",22,41
"Max Delay Variation (ms)","KPI from->to",24,16
"Max Delay Variation (ms)","KPI from->to",26,15
"Max Delay Variation (ms)","KPI from->to",28,12
"Max Delay Variation (ms)","KPI from->to",30,14
"Max Delay Variation (ms)","KPI from->to",32,18
"Max Delay Variation (ms)","KPI from->to",34,46
"Max Delay Variation (ms)","KPI from->to",36,17
"Max Delay Variation (ms)","KPI from->to",38,3
"Max Delay Variation (ms)","KPI from->to",40,2
"Max Delay Variation (ms)","KPI from->to",42,3
"Max Delay Variation (ms)","KPI from->to",44,41
"Max Delay Variation (ms)","KPI from->to",46,2
"Max Delay Variation (ms)","KPI from->to",48,3
"Max Delay Variation (ms)","KPI from->to",50,12
"Max Delay Variation (ms)","KPI from->to",52,4
"Max Delay Variation (ms)","KPI from->to",54,16
"Max Delay Variation (ms)","KPI from->to",56,37
"Max Delay Variation (ms)","KPI from->to",58,18
